,year,value,metrics,classe
545,2002,0.91,Accuracy Producer,Pastureland
546,2002,0.77,Accuracy Producer,Cropland
547,2002,0.0,Accuracy Producer,Bareland and Impervious
548,2002,0.19,Accuracy Producer,Rock Outcrop
549,2002,0.88,Accuracy Producer,Water
550,2003,0.96,Accuracy Producer,Forest
551,2003,0.35,Accuracy Producer,Shrubland
552,2003,0.16,Accuracy Producer,Flooded Forest
553,2003,0.24,Accuracy Producer,Wetland
554,2003,0.58,Accuracy Producer,Natural Grassland
555,2003,0.91,Accuracy Producer,Pastureland
556,2003,0.64,Accuracy Producer,Cropland
557,2003,0.0,Accuracy Producer,Bareland and Impervious
558,2003,0.19,Accuracy Producer,Rock Outcrop
559,2003,0.9,Accuracy Producer,Water
560,2004,0.96,Accuracy Producer,Forest
561,2004,0.35,Accuracy Producer,Shrubland
